,Year,Month,Day,Hour,Pressure_hPa,Latitude,Longitude,Height_m,Temperature_K,Specific_Humidity,Vapour_Pressure_hPa,Radio_Refractivity,Day_of_Year,Month_Sin,Month_Cos,Hour_Sin,Hour_Cos
Year,1.0,1.1238045910473716e-13,-3.6688820516457326e-16,-4.2366644801012815e-15,-5.98877487899176e-14,-1.9654059020947304e-13,-2.8757489458902213e-12,0.001983710980485918,0.021460858336920217,0.02013466277307784,0.01798269287240936,0.011805415076870518,0.00021809862878763251,-1.007729490767156e-13,9.272706746448206e-14,-2.6689756173852164e-16,-6.332487419357945e-16
Month,1.1238045910473716e-13,1.0,0.030233752103827987,7.523349994542352e-17,-2.9618862493426655e-15,-1.677392030611515e-14,-2.2089229340990646e-13,-0.006239344596212748,-0.05051746024751359,0.2772148211010152,0.2490816120551026,0.2022783144029076,0.9944787578227933,-0.757951870381594,0.22465880146659872,-3.4080401845917293e-18,-2.5395491428115936e-18
Day,-3.6688820516457326e-16,0.030233752103827987,1.0,-1.3848115041490173e-17,-1.1176987510349854e-16,-3.1220119653740294e-15,-1.6288536431470995e-14,-0.0004382691368849478,0.007848345338425787,-0.0013201607558406456,-0.001037145073236123,-0.0016625809117041263,0.13472689460965365,-0.028356237034016584,-0.016230950750394244,-1.090930546735774e-19,-5.530150678390702e-18
Hour,-4.2366644801012815e-15,7.523349994542352e-17,-1.3848115041490173e-17,1.0,-2.3689588772902693e-17,2.0688435881027755e-16,-1.48965581730406e-15,0.0030254785812499946,0.07575483790232894,-0.00031894399770922266,-1.850064158478903e-05,-0.008164803817436736,8.862014643705036e-17,1.505987138365276e-16,2.669632414730971e-16,-0.6324555320336687,-0.6324555320336649
Pressure_hPa,-5.98877487899176e-14,-2.9618862493426655e-15,-1.1176987510349854e-16,-2.3689588772902693e-17,1.0,5.336597453960918e-17,3.190082640399341e-16,-0.9982838390023674,0.7647056288975663,0.550650621012142,0.6470777096640764,0.7852581508557601,-2.967611758463479e-15,2.576181012294057e-15,-2.566550339548232e-15,2.0241204221769937e-17,4.413277828887852e-18
Latitude,-1.9654059020947304e-13,-1.677392030611515e-14,-3.1220119653740294e-15,2.0688435881027755e-16,5.336597453960918e-17,1.0,6.425990729277398e-17,-0.00041541984684025714,0.003743625333401699,-0.010868107087717356,-0.010348982309298822,-0.008695830462770233,-1.7005533857889072e-14,2.406557489049607e-14,1.0338093737971118e-14,3.2034288945325385e-17,-4.69404939344276e-16
Longitude,-2.8757489458902213e-12,-2.2089229340990646e-13,-1.6288536431470995e-14,-1.48965581730406e-15,3.190082640399341e-16,6.425990729277398e-17,1.0,5.88064134250654e-06,0.00724541717378113,0.0158646058129214,0.011970953155632671,0.009186514971000759,-2.1996109339238722e-13,2.002125618299717e-13,-6.848767195077503e-14,1.1418345408455467e-15,8.382330755961847e-16
Height_m,0.001983710980485918,-0.006239344596212748,-0.0004382691368849478,0.0030254785812499946,-0.9982838390023674,-0.00041541984684025714,5.88064134250654e-06,1.0,-0.7643240355837136,-0.576715942616825,-0.6701594711242477,-0.803166971799847,-0.0061141817416345765,0.019956090299384326,0.03587130873498562,0.003958274516856964,0.003109377917293894
Temperature_K,0.021460858336920217,-0.05051746024751359,0.007848345338425787,0.07575483790232894,0.7647056288975663,0.003743625333401699,0.00724541717378113,-0.7643240355837136,1.0,0.29751766833672794,0.3876626660355526,0.4729435485452513,-0.0505833950318006,0.15189264008512998,-0.17511433001931942,4.923241715797917e-05,-0.12196167199468945
Specific_Humidity,0.02013466277307784,0.2772148211010152,-0.0013201607558406456,-0.00031894399770922266,0.550650621012142,-0.010868107087717356,0.0158646058129214,-0.576715942616825,0.29751766833672794,1.0,0.9913866702657637,0.946474727294301,0.2734598536010719,-0.4818419443971878,-0.4155675525419122,-0.010460706214971884,0.005843990973906772
